iter	Passed	Remaining
0	113	113209
1	116	58159
2	118	39470
3	122	30397
4	124	24731
5	126	20932
6	128	18253
7	131	16360
8	134	14767
9	136	13474
10	138	12495
11	141	11681
12	144	10992
13	146	10350
14	149	9792
15	151	9303
16	153	8879
17	155	8504
18	158	8161
19	161	7899
20	164	7682
21	168	7487
22	170	7248
23	173	7040
24	175	6855
25	178	6673
26	179	6484
27	181	6312
28	184	6162
29	186	6041
30	188	5896
31	190	5765
32	193	5662
33	195	5543
34	196	5427
35	198	5323
36	200	5225
37	202	5131
38	204	5033
39	206	4963
40	208	4883
41	210	4800
42	212	4726
43	215	4685
44	218	4627
45	219	4555
46	222	4502
47	223	4436
48	225	4385
49	229	4357
50	231	4301
51	232	4246
52	235	4213
53	238	4170
54	239	4117
55	241	4069
56	244	4043
57	246	4003
58	248	3961
59	251	3946
60	253	3908
61	255	3871
62	258	3844
63	261	3821
64	262	3782
65	265	3751
66	269	3754
67	274	3756
68	275	3723
69	277	3689
70	280	3666
71	281	3634
72	283	3601
73	285	3572
74	288	3552
75	290	3528
76	291	3500
77	293	3470
78	296	3453
79	298	3427
80	299	3400
81	302	3384
82	303	3349
83	304	3323
84	306	3296
85	308	3274
86	310	3254
87	311	3228
88	312	3202
89	314	3184
90	316	3164
91	318	3139
92	319	3115
93	320	3092
94	322	3073
95	324	3053
96	325	3031
97	326	3009
98	328	2989
99	330	2973
100	332	2956
101	333	2937
102	335	2921
103	337	2907
104	339	2895
105	341	2876
106	342	2859
107	345	2849
108	347	2838
109	348	2823
110	350	2809
111	354	2807
112	356	2795
113	357	2782
114	360	2776
115	362	2764
116	364	2749
117	366	2741
118	368	2730
119	370	2716
120	372	2707
121	375	2699
122	377	2690
123	379	2679
124	381	2672
125	383	2662
126	385	2648
127	387	2637
128	392	2649
129	395	2645
130	398	2646
131	401	2638
132	404	2637
133	406	2627
134	409	2620
135	411	2613
136	413	2605
137	415	2597
138	418	2589
139	419	2578
140	421	2567
141	422	2554
142	425	2549
143	427	2541
144	429	2530
145	432	2532
146	435	2526
147	436	2515
148	440	2514
149	442	2508
150	444	2499
151	447	2495
152	449	2489
153	451	2478
154	453	2474
155	455	2466
156	457	2457
157	459	2448
158	462	2444
159	464	2437
160	465	2427
161	469	2429
162	471	2421
163	473	2412
164	475	2407
165	477	2400
166	479	2391
167	481	2386
168	483	2379
169	485	2371
170	487	2365
171	489	2358
172	491	2351
173	493	2342
174	495	2335
175	497	2327
176	499	2322
177	501	2314
178	503	2309
179	505	2302
180	508	2301
181	510	2295
182	512	2288
183	514	2282
184	516	2276
185	519	2274
186	521	2267
187	523	2261
188	525	2256
189	527	2249
190	529	2241
191	531	2236
192	534	2233
193	535	2226
194	537	2219
195	540	2216
196	542	2211
197	544	2203
198	546	2200
199	549	2197
200	550	2190
201	555	2192
202	557	2187
203	559	2184
204	562	2181
205	564	2175
206	566	2169
207	569	2168
208	571	2163
209	574	2159
210	576	2154
211	578	2148
212	579	2141
213	581	2137
214	583	2130
215	585	2124
216	587	2118
217	589	2114
218	590	2107
219	592	2100
220	593	2093
221	596	2089
222	597	2083
223	599	2077
224	601	2070
225	603	2068
226	605	2062
227	607	2055
228	608	2048
229	611	2047
230	613	2042
231	615	2036
232	616	2030
233	619	2027
234	621	2022
235	622	2016
236	624	2009
237	626	2007
238	628	2000
239	629	1994
240	631	1988
241	633	1984
242	634	1978
243	636	1971
244	637	1965
245	639	1959
246	641	1956
247	643	1950
248	644	1943
249	646	1938
250	648	1935
251	650	1930
252	651	1924
253	653	1918
254	655	1915
255	657	1910
256	658	1903
257	660	1898
258	661	1893
259	663	1888
260	665	1884
261	666	1878
262	668	1873
263	670	1869
264	672	1864
265	674	1859
266	676	1856
267	677	1851
268	679	1847
269	681	1842
270	683	1839
271	685	1835
272	687	1830
273	689	1826
274	691	1824
275	693	1819
276	695	1814
277	698	1813
278	700	1810
279	702	1805
280	703	1801
281	706	1797
282	707	1793
283	709	1787
284	710	1782
285	713	1780
286	714	1776
287	716	1771
288	718	1767
289	721	1767
290	723	1763
291	725	1758
292	728	1758
293	730	1754
294	732	1749
295	736	1751
296	738	1747
297	739	1742
298	742	1739
299	743	1735
300	745	1730
301	747	1727
302	750	1725
303	751	1721
304	753	1717
305	755	1713
306	757	1710
307	759	1706
308	761	1702
309	763	1700
310	765	1696
311	767	1692
312	769	1688
313	771	1685
314	773	1681
315	774	1677
316	776	1673
317	779	1672
318	782	1669
319	784	1666
320	787	1665
321	789	1661
322	791	1657
323	793	1655
324	795	1652
325	797	1648
326	798	1643
327	801	1641
328	802	1637
329	804	1633
